1313421599.170070	147.32.84.165	60.190.223.75	tcp	-	2.954452	0	0	S
1313421608.133699	147.32.84.165	60.190.223.75	tcp	-	0.000011	0	0	S
1313421980.669046	147.32.84.165	60.190.223.75	tcp	http	0.867047	185	0	ShADTr
1313421992.085183	147.32.84.165	60.190.223.75	tcp	http	0.898916	185	0	ShADTr
1313422001.799371	147.32.84.165	60.190.223.75	tcp	http	68.705998	185	2920	ShADTaFdR
1313422068.141263	147.32.84.165	60.190.223.75	tcp	http	61.413329	185	0	ShADTaFr
1313422149.612227	147.32.84.165	60.190.223.75	tcp	http	0.971629	315	304	ShADTdR
1313422136.593037	147.32.84.165	60.190.223.75	tcp	http	138.144952	185	56085	ShADTcgadgcr
1313425811.877507	147.32.84.165	60.190.223.75	tcp	http	3.886780	315	304	ShADTadR
1313429477.748647	147.32.84.165	60.190.223.75	tcp	http	8.813507	315	1754	ShADTadcgR
1313429568.278137	147.32.84.165	60.190.223.75	tcp	http	60.918220	481	192	ShADTadfF
1313429632.971161	147.32.84.165	60.190.223.75	tcp	http	69.653999	488	192	ShADTaFdfR
1313429699.103076	147.32.84.165	60.190.223.75	tcp	http	78.684284	488	193	ShADTaFdRf
1313429773.873734	147.32.84.165	60.190.223.75	tcp	http	104.373875	488	193	ShADTaFdfR
1313429846.078019	147.32.84.165	60.190.223.75	tcp	http	128.834377	488	193	ShADTaFdfR
1313429920.284765	147.32.84.165	60.190.223.75	tcp	http	129.403922	488	193	ShADTaFdfR
1313429987.381296	147.32.84.165	60.190.223.75	tcp	http	128.592030	488	0	ShADTaFr
1313430060.085498	147.32.84.165	60.190.223.75	tcp	http	130.915668	480	192	ShADTaFdfR
1313430126.928295	147.32.84.165	60.190.223.75	tcp	http	129.708641	480	0	ShADTaFr
1313430196.481501	147.32.84.165	60.190.223.75	tcp	http	119.172962	480	193	ShADTaFdRf
1313430262.576630	147.32.84.165	60.190.223.75	tcp	http	62.957602	480	165	ShADTaFfR
1313430333.077768	147.32.84.165	60.190.223.75	tcp	-	0.447816	0	0	Sr
1313430333.979015	147.32.84.165	60.190.223.75	tcp	-	0.438094	0	0	Sr
1313430334.880416	147.32.84.165	60.190.223.75	tcp	http	14.063246	480	193	ShADTadfF
1313430350.149758	147.32.84.165	60.190.223.75	tcp	http	19.618341	485	192	ShADTadfF
1313435564.825458	147.32.84.165	60.190.223.75	tcp	http	0.855489	322	1654	ShADTdcgR
1313435567.329196	147.32.84.165	60.190.223.75	tcp	http	2.498697	191	25341	ShADTcgadR
1313435570.023250	147.32.84.165	60.190.223.75	tcp	http	0.749164	488	192	ShADTdfFa
1313435571.043650	147.32.84.165	60.190.223.75	tcp	http	0.738125	492	192	ShADTdfFa
1313435652.317564	147.32.84.165	60.190.223.75	tcp	http	0.846788	315	2266	ShADTdcgR
1313435663.245968	147.32.84.165	60.190.223.75	tcp	http	0.725945	481	193	ShADTdfFa
1313435664.628090	147.32.84.165	60.190.223.75	tcp	http	0.729987	485	193	ShADTdfFa
1313435665.615137	147.32.84.165	60.190.223.75	tcp	http	2.560325	187	25365	ShADTcgadR
1313435668.382724	147.32.84.165	60.190.223.75	tcp	http	0.759734	481	193	ShADTdfFa
1313435669.434699	147.32.84.165	60.190.223.75	tcp	http	0.742267	485	193	ShADTdfFa
1313435673.582534	147.32.84.165	60.190.223.75	tcp	http	0.714062	477	193	ShADTdfFa
1313435674.583167	147.32.84.165	60.190.223.75	tcp	http	0.716229	481	193	ShADTdfFa
1313435649.275318	147.32.84.165	60.190.223.75	tcp	http	3.010943	101	56093	ShADTcgadgcF
1313435864.314620	147.32.84.165	60.190.223.75	tcp	http	132.459775	192	56059	ShADTdacggcr
1313453635.302145	147.32.84.165	60.190.223.75	tcp	http	0.767511	322	1654	ShADTdcgR
1313453740.411580	147.32.84.165	60.190.223.75	tcp	http	0.744437	315	1678	ShADTdcgR
1313471699.844281	147.32.84.165	60.190.223.75	tcp	http	0.754576	322	1654	ShADTdcgR
1313471803.490960	147.32.84.165	60.190.223.75	tcp	http	0.745232	315	1678	ShADTdcgR
